antecedent_product_id,antecedent_label_en,consequent_product_id,consequent_label_en,pair_count,antecedent_count,consequent_count,support,confidence,lift,chi_square,p_value,q_bh,phi,retained
P0072,"French fries, 180 g",P0070,"Caru' cu Flori potatoes, 180 g",947,5580,4003,0.030394453894790896,0.1697132616487455,1.320948312063443,103.21960627570967,2.9998263309301324e-24,6.762005221166889e-24,0.05755768021036878,True
P0152,"Stella Artois draught beer, 0.4 L",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",935,2832,5898,0.03000930769971435,0.3301553672316384,1.7440913490736107,402.7356648205719,1.397718841998007e-89,1.3615279076962728e-88,0.11369260783917425,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0152,"Stella Artois draught beer, 0.4 L",935,5898,2832,0.03000930769971435,0.15852831468294337,1.7440913490736107,402.7356648205719,1.397718841998007e-89,1.3615279076962728e-88,0.11369260783917425,True
P0076,"Grilled pork neck, 150 g",P0070,"Caru' cu Flori potatoes, 180 g",907,2088,4003,0.02911063324453574,0.43438697318007663,3.3810129711145755,1870.3863993421637,0.0,0.0,0.24501227945920703,True
P0070,"Caru' cu Flori potatoes, 180 g",P0076,"Grilled pork neck, 150 g",907,4003,2088,0.02911063324453574,0.22658006495128655,3.3810129711145755,1870.3863993421637,0.0,0.0,0.24501227945920703,True
P0567,"Fried Romanian cheese doughnuts, 180 g",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",878,2807,5898,0.028179863273100746,0.3127894549340933,1.6523535176977866,306.5487970172512,1.2332735405329362e-68,8.737022290398918e-68,0.09919093657205082,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0567,"Fried Romanian cheese doughnuts, 180 g",878,5898,2807,0.028179863273100746,0.14886402170227195,1.6523535176977866,306.5487970172512,1.2332735405329362e-68,8.737022290398918e-68,0.09919093657205082,True
P0613,Product P0613,P0070,"Caru' cu Flori potatoes, 180 g",873,1844,4003,0.028019385691818853,0.4734273318872017,3.6848801847638133,2082.8494445946767,0.0,0.0,0.2585539174110081,True
P0070,"Caru' cu Flori potatoes, 180 g",P0613,Product P0613,873,4003,1844,0.028019385691818853,0.21808643517361978,3.6848801847638133,2082.8494445946767,0.0,0.0,0.2585539174110081,True
P0095,Product P0095,P0070,"Caru' cu Flori potatoes, 180 g",858,3929,4003,0.02753795294797317,0.21837617714431154,1.6997118539308806,324.49810164732105,1.5175335961088901e-72,1.1497424676074994e-71,0.10205358443771445,True
