min_pair_count,min_support,min_confidence,min_lift,fdr_bh,directional_rules,jaccard_vs_baseline,baseline_rule_retention
150,0.004814327438456847,0.2,1.1,0.05,380,0.32367972742759793,0.32367972742759793
150,0.004814327438456847,0.2,1.2,0.05,378,0.3219761499148211,0.3219761499148211
200,0.006419103251275797,0.05,1.0,0.05,724,0.42385596399099773,0.48126064735945484
200,0.006419103251275797,0.05,1.05,0.05,724,0.42385596399099773,0.48126064735945484
200,0.006419103251275797,0.05,1.1,0.05,722,0.42342342342342343,0.4804088586030664
200,0.006419103251275797,0.05,1.2,0.05,707,0.4164156626506024,0.47103918228279384
200,0.006419103251275797,0.1,1.0,0.05,565,0.48126064735945484,0.48126064735945484
200,0.006419103251275797,0.1,1.05,0.05,565,0.48126064735945484,0.48126064735945484
200,0.006419103251275797,0.1,1.1,0.05,564,0.4804088586030664,0.4804088586030664
200,0.006419103251275797,0.1,1.2,0.05,553,0.47103918228279384,0.47103918228279384
200,0.006419103251275797,0.15,1.0,0.05,400,0.34071550255536626,0.34071550255536626
200,0.006419103251275797,0.15,1.05,0.05,400,0.34071550255536626,0.34071550255536626
200,0.006419103251275797,0.15,1.1,0.05,399,0.33986371379897784,0.33986371379897784
200,0.006419103251275797,0.15,1.2,0.05,391,0.3330494037478705,0.3330494037478705
200,0.006419103251275797,0.2,1.0,0.05,298,0.25383304940374785,0.25383304940374785
200,0.006419103251275797,0.2,1.05,0.05,298,0.25383304940374785,0.25383304940374785
200,0.006419103251275797,0.2,1.1,0.05,297,0.25298126064735943,0.25298126064735943
200,0.006419103251275797,0.2,1.2,0.05,295,0.2512776831345826,0.2512776831345826
