antecedent_product_id,antecedent_label_en,consequent_product_id,consequent_label_en,pair_count,antecedent_count,consequent_count,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,phi,chi_square,p_value,q_value_bh,temporal_presence_ratio,monthly_support_cv,temporal_stability,pair_basket_value_mean,pair_revenue,pair_baskets,pair_basket_value_uplift_pct,pair_revenue_share,context_entropy,context_normalized_entropy,AR_score,DVS_score,CI_score,OC_score,IF_score,TS_score,CDS_baseline,CDS_empirical_4_component,CDS_baseline_reconstructed
P0482,Product P0482,P0009,"Borsec sparkling mineral water, 750 ml",108,713,3139,0.0034663157556889,0.0228841030907982,0.100747825528774,0.151472650771388,1.50348307744,0.0011607921301147,1.05977983536857,0.0257902694013214,20.7237045349143,5.30551360093094e-06,6.555283509191e-06,0.423076923076923,0.800120550323756,0.235026994720343,509.748611111111,55052.85,108,2.48448915229144,0.012078339649115,1.25408969942729,0.904634495096839,0.0271516366574275,0.773904202885723,0.347747007024309,0.5,0.5,0.241078017090586,40.3868371022551,36.266910146078644,40.38683710225505
P0159,Product P0159,P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",425,1626,5898,0.0136405944089611,0.0521873094328722,0.189299354880123,0.261377613776138,1.3807633625675,0.0037615704003889,1.09758472020393,0.0431738377367384,58.0760331140568,2.52180023253035e-14,4.09417269894437e-14,0.769230769230769,0.574431363419846,0.488576883758154,384.988941176471,163620.3,425,1.6316693366903,0.035897534040292,1.31795003786842,0.818888400531815,0.0977121681650358,0.562069470793982,0.314303020190214,0.5,0.5,0.588687711376547,40.3685702967501,36.240814709643004,40.3685702967501
P0015,Product P0015,P0007,Product P0007,259,1453,2157,0.0083127387104021,0.0466347851205187,0.0692300285650095,0.178251892635926,2.57477710656353,0.0050842112043855,1.13267066038111,0.0949883853041282,281.123172178053,4.2740458953995996e-63,2.66456232678912e-62,0.653846153846154,0.716848199525876,0.380840981763396,414.72027027027,107412.55,259,1.83490381629925,0.0235658146940176,1.38344036719343,0.859579830017258,0.0813789923219234,0.662597175375816,0.303405069395058,0.5,0.5,0.440984850617514,40.3574732480311,36.22496178290155,40.357473248031084
P0090,Product P0090,P0165,"Honey lemonade, 500 ml",110,471,3686,0.0035305067882016,0.0151169881567545,0.118304072921013,0.233545647558386,1.97411333178965,0.0017421055189589,1.15035673588422,0.0442069173261231,60.8886152155375,6.039711085916261e-15,1.0014171420569401e-14,0.384615384615385,1.42943597891579,0.15831468207161,354.652727272727,39011.8,110,1.42430004530807,0.0085590077665978,1.33651755360492,0.964093623323437,0.0666851103244901,0.920797289529319,0.212246861775766,0.5,0.5,0.135907615916327,40.3536613917548,36.21951627393539,40.35366139175477
P0573,Product P0573,P0165,"Honey lemonade, 500 ml",113,458,3686,0.0036267933369708,0.0146997464454216,0.118304072921013,0.246724890829694,2.08551476494324,0.0018877534615712,1.17048328870196,0.0485676164978408,73.4935482401698,1.0096564614939501e-17,1.86700881269475e-17,0.461538461538462,1.05076108794072,0.225057157682818,409.438761061947,46266.58,113,1.79880099788447,0.0101506728106347,1.27925883656357,0.922790189761824,0.0740038359332263,0.818757635975671,0.261098885498913,0.5,0.5,0.227409653764352,40.3513036857997,36.216148122571035,40.35130368579972
P0160,Product P0160,P0576,Product P0576,206,735,1175,0.006611676348814,0.0235902044484386,0.0377122316012453,0.280272108843537,7.43186220871327,0.0057220370951338,1.33701608652757,0.197913379070037,1220.41051784407,2.23642932911818e-267,7.39377090323615e-266,0.730769230769231,0.543606525223158,0.473416780007187,322.983737864078,66534.65,206,1.2078202989132,0.014597393252756,1.33945549891993,0.832250494766926,0.184317305169705,0.595080369620783,0.20373510803932,0.5,0.5,0.567903639846423,40.3416920550604,36.202417221514835,40.341692055060385
P0118,Product P0118,P0007,Product P0007,135,936,2157,0.0043328946946111,0.0300414032159707,0.0692300285650095,0.144230769230769,2.08335562212475,0.0022531274918365,1.08764131493527,0.051997279748709,84.2397137241292,4.38277800299388e-20,8.631066428278571e-20,0.384615384615385,1.30712880938321,0.166707373706719,410.04,55355.4,135,1.80291088756718,0.0121447177142077,1.3168780680908,0.949926729145017,0.0401990645851626,0.885798141777093,0.267238570760017,0.5,0.5,0.147413757703995,40.3388531194854,36.198361599264864,40.33885311948541
P0614,Product P0614,P0070,"Caru' cu Flori potatoes, 180 g",227,845,4003,0.007285682190198,0.0271207112366402,0.128478351574285,0.268639053254438,2.09092854915027,0.0038012579169923,1.19164367786364,0.0699347865620659,152.384972792256,5.220209270130811e-35,1.59978885216649e-34,0.884615384615385,0.52130310599879,0.581485294499943,398.104625550661,90369.75,227,1.72132423506683,0.0198267035131807,1.2971202669969,0.805946136210465,0.0988651042096397,0.530095756899704,0.279357296788346,0.5,0.5,0.716062502890385,40.3269881868576,36.18141169551092,40.32698818685764
P0165,"Honey lemonade, 500 ml",P0058,Product P0058,414,3686,2522,0.0132875437301409,0.118304072921013,0.0809448919985878,0.112316874660879,1.38757211094727,0.0037114333245564,1.03534142056638,0.0421324677246134,55.3081876728741,1.03038499573361e-13,1.64109493481076e-13,0.769230769230769,0.640079011055975,0.469020555744747,409.103743961353,169368.95,414,1.79651092111446,0.037158761156125,1.34572708518079,0.836147250405903,0.042957386813871,0.604707259230126,0.337395280020422,0.5,0.5,0.561876541283381,40.3199639341222,36.17137704874598,40.319963934122185
P0159,Product P0159,P0578,Product P0578,193,1626,615,0.0061944346374811,0.0521873094328722,0.0197387424976731,0.11869618696187,6.01336113361134,0.0051643227749392,1.11228527892448,0.166931772623376,868.227714070313,7.92267489771541e-191,1.92080851409056e-189,0.730769230769231,0.562736224276516,0.467621611003193,384.654300518135,74238.28,193,1.62938183316705,0.0162875339025337,1.35780464434605,0.843651459839491,0.104288155404381,0.623246321597786,0.258438126206528,0.5,0.5,0.559958627788012,40.319038342054,36.17005477436288,40.319038342054014
